"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"PCOTN1","Porthcurno Landing Station","Redstream",,"SOUTH WEST","Normal","POLGIGGA
PENZANCE
CORNWALL
TR19 6LR","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PCOTN1.pdf?CT=1607620604937&OR=ItemsView","https://www.google.co.uk/maps/place/50°03%2721.3%22N+5°39%2747.3%22W/@50.0557924,-5.6635564,251m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.0559194!4d-5.6631333?hl=en","Data migrated to GIS","False","Freehold","N only"
"PTMDN1","Portsdown Hill Road","Redstream",,"SOUTH","Normal","PORTSDOWN HILL ROAD
PORTSMOUTH
HAMPSHIRE
PO6 1BE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PTMDN1.pdf?CT=1607621549492&OR=ItemsView","https://www.google.com/maps/place/50°51%2713.7%22N+1°03%2721.6%22W/@50.8535671,-1.0563135,348m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.8537917!4d-1.0560028","Data migrated to GIS","False","Leasehold","N only"
"BTRTP1","Prospect Court","Redstream",,"SCOTLAND","Normal","PROSPECT COURT
GLASGOW
LANARKSHIRE
G72 0JA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTRTP1.pdf?CT=1607942581000&OR=ItemsView","https://www.google.com/maps/place/55°46%2750.2%22N+4°05%2738.4%22W/@55.7804763,-4.0943857,265m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.7806222!4d-4.0940111","Data migrated to GIS","False","Leasehold","N only"
"NGM","Queens Drive","Redstream",,"MIDLANDS","Normal","OFF QUEENS DRIVE
NOTTINGHAM
NOTTINGHAMSHIRE
NG2 1AL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NGM.pdf?CT=1607932073735&OR=ItemsView","https://www.google.com/maps/place/52%C2%B056'37.6%22N+1%C2%B009'38.7%22W/@52.943781,-1.1629387,665m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d52.9437778!4d-1.16075","Data migrated to GIS","False","Leasehold","N only"
"COV","Quinton Road","Redstream","[""OpX""]","MIDLANDS","Normal","OFF QUINTON ROAD
COVENTRY

CV1 2NJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/COV.pdf?CT=1607932522643&OR=ItemsView","https://www.google.com/maps/place/52°23%2759.3%22N+1°30%2733.1%22W/@52.3997895,-1.51018,337m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.3997972!4d-1.5091806","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"ASMN02","Raans Road","Redstream",,"THAMES VALLEY","Normal","RAANS ROAD
AMERSHAM
BUCKINGHAMSHIRE
HP6 6JY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ASMN02.pdf?CT=1607932961378&OR=ItemsView","https://www.google.com/maps/place/51%C2%B040'25.4%22N+0%C2%B035'15.7%22W/@51.6735421,-0.5885303,342m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6737083!4d-0.5876806","Data Migrated to GIS","False","Freehold","N only"
"RATE02","Ratcliffe S/S EAM","Redstream",,"MIDLANDS","Normal","A453
RATCLIFFE ON SOAR
NOTTINGHAMSHIRE
NG11 0EE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/RATE02.pdf?CT=1607933334918&OR=ItemsView","https://www.google.com/maps/place/52°51%2745.9%22N+1°15%2710.5%22W/@52.8625134,-1.2544459,666m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.86275!4d-1.2529278","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"SWY","Rea Valley Business Park","Redstream",,"MIDLANDS","Normal","REA VALLEY BUSINESS PARK
SHREWSBURY
SHROPSHIRE
SY3 7ET","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SWY.pdf?CT=1607933672003&OR=ItemsView","https://www.google.com/maps/place/52°42%2706.5%22N+2°44%2732.4%22W/@52.7017129,-2.7430388,334m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.7017972!4d-2.7423361","Data migrated to GIS","False","Freehold","N only"
"CFDTN1","Regina Road","Redstream",,"ANGLIA","Normal","REGINA ROAD
CHELMSFORD
ESSEX
CM1 1PE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CFDTN1.pdf?CT=1607934075380&OR=ItemsView","https://www.google.com/maps/place/51%C2%B044'17.4%22N+0%C2%B028'40.6%22E/@51.7379125,0.4771842,342m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.7381583!4d0.4779333","Data migrated to GIS","False","Leasehold","N only"
"DGS","Richmond Hill","Redstream",,"NORTH WEST","Normal","RICHMOND HILL
DOUGLAS
ISLE OF MAN
IOM XXX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DGS.pdf?CT=1607934511750&OR=ItemsView","https://www.google.com/maps/place/54°08%2734.2%22N+4°33%2706.9%22W/@54.1429011,-4.5527201,323m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.1428194!4d-4.5519167","Data migrated to GIS","False","Leasehold","N only"
"ANSTW1","River Wynd","Redstream",,"SCOTTISH HIGHLANDS & ISLANDS","Normal","RIVER WYND
ALNESS
ROSS-SHIRE
IV17 0PE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ANSTW1.pdf?CT=1607602229966&OR=ItemsView","https://www.google.com/maps/place/57°41%2736.2%22N+4°15%2741.0%22W/@57.6932539,-4.2619702,295m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.6933889!4d-4.2613861","Data migrated to GIS","False","Leasehold","N only"
"WCKTR1","Riverside Road","Redstream",,"SCOTTISH HIGHLANDS & ISLANDS","Normal","RIVERSIDE ROAD (OFF THURSO RD)
WICK
WICK
KW1 5LR","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WCKTR1.pdf?CT=1607603191642&OR=ItemsView","https://www.google.com/maps/place/58°26%2731.0%22N+3°06%2717.0%22W/@58.4417815,-3.1053292,289m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d58.4419556!4d-3.1047194","Data migrated to GIS","False","Leasehold","N only"
"BIFTS1","Salthouse Road","Redstream",,"NORTH WEST","Closed","SALTHOUSE ROAD
BARROW IN FURNESS
CUMBRIA
LA14 2UP","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BIFTS1.pdf?csf=1&web=1&e=REFu2h","https://www.google.com/maps/place/54%C2%B006'29.9%22N+3%C2%B012'46.4%22W/@54.1082941,-3.2130625,323m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.1083167!4d-3.2128833","Data migrated to GIS","False","Leasehold","N only"
"CTRTS1","Sealand Trading Estate","Redstream","[""RA""]","NORTH WEST","Normal","HARTFORD WAY
CHESTER
CHESHIRE
CH1 4LT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CTRTS1.pdf?CT=1607604108169&OR=ItemsView","https://www.google.com/maps/place/53°11%2730.7%22N+2°54%2753.9%22W/@53.1918155,-2.9156187,331m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.1918556!4d-2.9149778","Data migrated to GIS","False","Leasehold","N only"
"CHDCD1","Sheffield Road","Redstream",,"NORTH EAST","Normal","SHEFFIELD ROAD
CHESTERFIELD
DERBYSHIRE
S41 7LT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CHDCD1.pdf?CT=1607604587481&OR=ItemsView","https://www.google.com/maps/place/53%C2%B014'39.8%22N+1%C2%B025'32.9%22W/@53.2442221,-1.4260892,330m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.2443778!4d-1.4258056","Data migrated to GIS","False","Leasehold","N only"
"SLO","Simpsons Way","Redstream",,"THAMES VALLEY","Normal","SIMPSONS WAY
SLOUGH
BERKSHIRE
SL1 3GD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SLO.pdf?CT=1607605183483&OR=ItemsView","https://www.google.com/maps/place/51°30%2751.4%22N+0°36%2706.4%22W/@51.5139095,-0.6023432,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5142889!4d-0.601775","Data migrated to GIS","False","Leasehold","N only"
"SMHN02","Smale House","Redstream",,"LONDON","Normal","GREAT SUFFOLK ST.
LONDON
LONDON
SE1 0BE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SMHN02.pdf?CT=1607605861123&OR=ItemsView","https://www.google.com/maps/place/51°30%2703.9%22N+0°05%2759.2%22W/@51.5011883,-0.1002787,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5010694!4d-0.0997694","Data migrated to GIS","False","Leasehold","N only"
"LPLTB1","South Boundry Road","Redstream",,"NORTH WEST","Normal","SOUTH BOUNDARY ROAD
LIVERPOOL
MERSEYSIDE
L33 7SF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LPLTB1.pdf?CT=1607690254328&OR=ItemsView","https://www.google.com/maps/place/53%C2%B028'27.1%22N+2%C2%B051'38.1%22W/@53.4741463,-2.8609592,328m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.4741861!4d-2.8605917","Data migrated to GIS","False","Leasehold","N only"
"BRN","South Road","Redstream",,"SOUTH WEST","CLOSED","SOUTH ROAD
BURNHAM ON SEA
SOMERSET
TA8 2RD","False","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BRN.pdf?CT=1607692343814&OR=ItemsView","https://www.google.com/maps/place/51%C2%B017'09.7%22N+3%C2%B000'47.2%22W/@51.2860062,-3.0134064,173m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.2860222!4d-3.0131139",,"False","Leasehold","N only"
"RDGCD2","Southern Court","Redstream","[""Amitie""]","THAMES VALLEY","Normal","SOUTHERN COURT
READING
BERKSHIRE
RG1 4QS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/RDGCD2.pdf?CT=1607934955252&OR=ItemsView","https://www.google.com/maps/place/51°27%2708.3%22N+0°57%2754.0%22W/@51.4523845,-0.9655341,344m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4522944!4d-0.9649861","Data migrated to GIS","False","Freehold","N only"
"LDSTS1","Spectrum Park","Redstream","[""RA""]","NORTH EAST","Normal","GRAPE STREET
LEEDS
WEST YORKSHIRE
LS10 1BX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LDSTS1.pdf?CT=1607936353349&OR=ItemsView","https://www.google.com/maps/place/53°47%2706.5%22N+1°31%2759.0%22W/@53.7850426,-1.5338933,326m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7851278!4d-1.5330667","Data migrated to GIS","False","Leasehold","N only"
"BPL","Squires Gate Lane","Redstream",,"NORTH WEST","Normal","SQUIRES GATE LANE
BLACKPOOL
LANCASHIRE
FY4 2QS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BPL.pdf?CT=1607936812980&OR=ItemsView","https://www.google.com/maps/place/53%C2%B046'47.2%22N+3%C2%B002'12.6%22W/@53.7798115,-3.0370924,163m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7797778!4d-3.0368361","Data migrated to GIS","False","Leasehold","N only"
"BMTDN1","St. Catherines Hill Lane","Redstream",,"SOUTH","Normal","ST. CATHERINES HILL LANE
CHRISTCHURCH
DORSET
BH23 2NL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BMTDN1.pdf?CT=1607944009439&OR=ItemsView","https://www.google.com/maps/place/50°45%2735.1%22N+1°47%2756.5%22W/@50.7592002,-1.7990277,349m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.7597528!4d-1.799025","Data migrated to GIS","False","Leasehold","N only"
"PLY","St. Modwen Road","Redstream","[""RA"",""Amitie""]","SOUTH WEST","Normal","ST. MODWEN ROAD
PLYMOUTH
DEVON
PL6 8LH","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/PLY.pdf?CT=1607943520498&OR=ItemsView","https://www.google.com/maps/place/50°23%2745.1%22N+4°05%2724.5%22W/@50.3958058,-4.0909853,352m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.3958583!4d-4.0901278","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BRRTS1","Stafford Terrace EAM","Redstream",,"SCOTTISH HIGHLANDS & ISLANDS","Normal","STAFFORD TERRACE
BRORA
SUTHERLAND
KW9 6QW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BRRTS1.pdf?CT=1607944352570&OR=ItemsView","https://www.google.com/maps/place/58°00%2750.9%22N+3°51%2718.6%22W/@58.0141483,-3.8555105,146m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d58.014125!4d-3.8551639","Data migrated to GIS","False","Leasehold","N only"
"HHD","Station Car Park","Redstream",,"NORTHERN HOME COUNTIES","Normal","STATION CAR PARK - EAST END
HEMEL HEMPSTEAD
HERTFORDSHIRE
HP3 9BJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HHD.pdf?CT=1607944776087&OR=ItemsView","https://www.google.com/maps/place/51%C2%B044'29.5%22N+0%C2%B029'08.9%22W/@51.7416228,-0.4866348,342m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.7415333!4d-0.4858083","Data migrated to GIS","False","Leasehold","N only"
"SDN","Station Road","Redstream",,"SOUTH WEST","Normal","STATION ROAD
SWINDON
WILTSHIRE
SN1 2BB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SDN.pdf?CT=1607945154465&OR=ItemsView","https://www.google.com/maps/place/51°34%2703.9%22N+1°46%2740.2%22W/@51.5676603,-1.7781667,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.56775!4d-1.777825","Data migrated to GIS","False","Leasehold","N only"
"BTNW01","Station Road EAM","Redstream",,"MIDLANDS","Normal","STATION ROAD
BARTON UNDER NEEDWOOD
STAFFORDSHIRE
DE13 8DP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTNW01.pdf?CT=1607945692500&OR=ItemsView","https://www.google.com/maps/place/52°45%2751.1%22N+1°42%2744.5%22W/@52.7640297,-1.7126928,167m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.7642028!4d-1.7123694","Data migrated to GIS","False","Leasehold","N only"
"HLDA11","Stockley Road DC","Redstream",,"LONDON","Normal","STOCKLEY ROAD
WEST DRAYTON
MIDDLESEX
UB7 9FN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HLDA11.pdf?CT=1607946354968&OR=ItemsView","https://www.google.com/maps/place/51%C2%B030'09.8%22N+0%C2%B026'46.9%22W/@51.5028018,-0.4475512,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5027222!4d-0.4463722","Data migrated to GIS","False","Leasehold","N only"
"HLDA12","Stockley Road DC","Redstream",,"LONDON","Normal","STOCKLEY ROAD
WEST DRAYTON
MIDDLESEX
UB7 9FN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HLDA12.pdf?CT=1607963287258&OR=ItemsView","https://www.google.com/maps/place/51°30%2709.8%22N+0°26%2746.9%22W/@51.5028018,-0.4475512,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5027222!4d-0.4463722","Data migrated to GIS","False","Leasehold","N only"
"SOT","Stoke on Trent Railway Station","Redstream",,"MIDLANDS","Normal","STOKE ROAD/ OFF STOKE ROAD (A5006)
STOKE ON TRENT
STAFFORDSHIRE
ST4 2QH","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SOT.pdf?CT=1607693093188&OR=ItemsView","https://www.google.com/maps/place/53°00%2741.4%22N+2°11%2709.9%22W/@53.0109542,-2.1867096,664m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.0114972!4d-2.1860889","Data migrated to GIS","False","Leasehold","N only"
"BRETS1","Strathcaro EAM","Redstream",,"SCOTLAND","Normal","STRATHCARO EAM
BRECHIN
ANGUS
DD9 7QB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BRETS1.pdf?CT=1607693366813&OR=ItemsView","https://www.google.com/maps/place/56°45%2755.9%22N+2°37%2741.6%22W/@56.7655447,-2.6294283,302m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.7655333!4d-2.6282278","Data migrated to GIS","False","Leasehold","N only"
"CYNTN2","Swan Close","Redstream",,"LONDON","Normal","SWAN CLOSE
CROYDON
SURREY
CR0 2DZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CYNTN2.pdf?CT=1607964554419&OR=ItemsView","https://www.google.com/maps/place/51°23%2705.4%22N+0°05%2720.5%22W/@51.3847962,-0.0892037,344m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3848444!4d-0.0890167","Data migrated to GIS","False","Freehold","N only"
"SDNN13","Swindon","Redstream",,"SOUTH WEST","Normal","WHITEHILL WAY, 
WINDMILL HILL BUSINESS PARK, 
SWINDON, 
WILTSHIRE, 
SN5 6LA, UK","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SDNN13.pdf","https://www.google.com/maps/place/Swindon+SN5+6LA/@51.5514763,-1.8477774,320m/data=!3m1!1e3!4m5!3m4!1s0x487143a316b068f7:0x41ab032eb5a070fb!8m2!3d51.5514452!4d-1.8473","Data migrated to GIS","False","Leasehold","N only"
"SDNN11","Swindon","Redstream",,"SOUTH WEST","Normal","WHITEHILL WAY, 
WINDMILL HILL BUSINESS PARK, 
SWINDON, 
WILTSHIRE, 
SN5 6LA, UK","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SDNN11.pdf?csf=1&web=1&e=FWt32z","https://www.google.com/maps/place/Swindon+SN5+6LA/@51.5514763,-1.8477774,320m/data=!3m1!1e3!4m5!3m4!1s0x487143a316b068f7:0x41ab032eb5a070fb!8m2!3d51.5514452!4d-1.8473","Data migrated to GIS","False","Leasehold","N only"
"BCT","Tamebridge Railway Station","Redstream",,"MIDLANDS","Normal","TAMEBRIDGE RAILWAY STATION
WEDNESBURY
WEST MIDLANDS
WS10 0LD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BCT.pdf?CT=1607694228605&OR=ItemsView","https://www.google.com/maps/place/52%C2%B033'22.8%22N+1%C2%B058'42.3%22W/@52.5561254,-1.9785262,335m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.5563417!4d-1.9784167","Data migrated to GIS","False","Leasehold","N only"
"TELHS1","Telehouse Coriander Avenue","Redstream",,"LONDON","Normal","CORIANDER AVENUE
LONDON
MIDDLESEX
E14 2AA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/TELHS1.pdf?CT=1607694643373&OR=ItemsView","https://www.google.com/maps/place/51°30%2743.4%22N+0°00%2707.4%22W/@51.5120826,-0.0032027,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5120472!4d-0.0020667","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"TELHS2","Telehouse Coriander Avenue","Redstream",,"LONDON","Normal","CORIANDER AVENUE
LONDON
MIDDLESEX
E14 2AA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/TELHS2.pdf?CT=1607695096729&OR=ItemsView","https://www.google.com/maps/place/51°30%2741.3%22N+0°00%2706.6%22W/@51.5114711,-0.0029193,343m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d51.5114694!4d-0.001825","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"NBYCD1","The Paddocks","Redstream",,"THAMES VALLEY","Normal","THE PADDOCKS
NEWBURY
BERKSHIRE
RG14 5TQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NBYCD1.pdf?CT=1607695420022&OR=ItemsView","https://www.google.com/maps/place/51°23%2756.2%22N+1°18%2719.0%22W/@51.3989477,-1.3074554,688m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d51.3989444!4d-1.3052667","Data migrated to GIS","False","Leasehold","N only"
"EDBCD1","Torphichen Street","Redstream",,"SCOTLAND","Normal","TORPHICHEN STREET
EDINBURGH
MIDLOTHIAN
EH3 8JQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EDBN07%20and%20EDBCD1.pdf?CT=1607696702001&OR=ItemsView","https://www.google.com/maps/place/55°56%2748.6%22N+3°12%2752.3%22W/@55.9466484,-3.2153172,309m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.9468361!4d-3.2145139","Data migrated to GIS","False","Leasehold","N only"
"EDBN07","Torphichen Street","Redstream",,"SCOTLAND","Normal","TORPHICHEN STREET
EDINBURGH
MIDLOTHIAN
EH3 8JQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EDBN07%20and%20EDBCD1.pdf?CT=1607696702001&OR=ItemsView","https://www.google.com/maps/place/55°56%2748.6%22N+3°12%2752.3%22W/@55.9466484,-3.2153172,309m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.9468361!4d-3.2145139","Data migrated to GIS","False","Leasehold","N only"
"NWPDN1","Upper Dock Street","Redstream",,"WALES","Normal","UPPER DOCK STREET
NEWPORT
GWENT
NP20 1DW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NWPDN1.pdf?CT=1608027037327&OR=ItemsView","https://www.google.com/maps/place/51°35%2713.9%22N+2°59%2743.4%22W/@51.5871698,-2.9959853,343m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5871889!4d-2.9953806","Data migrated to GIS","False","Leasehold","N only"
"BFTN03","Upper Newtownards Road","Redstream","[""RA""]","NORTHERN IRELAND","Normal","UPPER NEWTOWNARDS ROAD
BELFAST
COUNTY ANTRIM
BT16 1UD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BFTN03.pdf?CT=1608027507804&OR=ItemsView","https://www.google.com/maps/place/54°35%2740.0%22N+5°46%2744.3%22W/@54.5944471,-5.7796702,320m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.59445!4d-5.7789778","Data migrated to GIS","False","Leasehold","N only"
"VHXN02 & VHXINT","Vauxhall Cross","Redstream","[""RA""]","LONDON","Normal","MILES STREET
LONDON
LONDON
SW8 1SD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/VHXINT%26VHXN02.pdf?CT=1608028519519&OR=ItemsView","https://www.google.com/maps/place/51°28%2759.0%22N+0°07%2737.3%22W/@51.482875,-0.1268578,344m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4830583!4d-0.1270278","Data migrated to GIS","False","Leasehold","N only"
"BSG","Vyne Road","Redstream",,"THAMES VALLEY","Normal","VYNE ROAD
BASINGSTOKE
HAMPSHIRE
RG21 5ND","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BSG.pdf?CT=1608028870108&OR=ItemsView","https://www.google.com/maps/place/51°16%2707.3%22N+1°05%2720.1%22W/@51.2685895,-1.0895293,345m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.2687056!4d-1.0889194","Data migrated to GIS","False","Leasehold","N only"
"BKLTN1","Waterside House","Redstream",,"THAMES VALLEY","Planned Closure","LONGSHOT LANE
BRACKNELL
BERKSHIRE
RG12 1WB","False","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BKLTN1.pdf?CT=1608029657508&OR=ItemsView","https://www.google.com/maps/place/51%C2%B024'59.8%22N+0%C2%B046'21.4%22W/@51.4165438,-0.7729863,344m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4166!4d-0.7726111",,"True","Leasehold","N only"
"WAHP03","WATFORD","Redstream",,"London","Normal","RYAN WAY
WATFORD
HERTFORDSHIRE
WD24 4YP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WAHP03.pdf","https://www.google.com/maps/place/51°40%2705.4%22N+0°23%2723.5%22W/@51.6681568,-0.3904096,321m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6681667!4d-0.3898611","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"ABN","Wellington Circle","Redstream",,"SCOTLAND","Normal","WELLINGTON CIRCLE
ABERDEEN
ABERDEENSHIRE
AB12 3JG","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ABN.pdf?CT=1608029972418&OR=ItemsView","https://www.google.com/maps/place/57°06%2731.5%22N+2°05%2741.0%22W/@57.1085484,-2.0948627,300m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.1087444!4d-2.0947222","Data migrated to GIS","False","Freehold","N only"
"LCT (Ground Floor)","Wharf Street South","Redstream",,"MIDLANDS","Normal","WHARF ST. SOUTH
LEICESTER
LEICESTERSHIRE
LE1 2AA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LCT%20GROUNDFLOOR.pdf?CT=1614251301456&OR=ItemsView","https://www.google.com/maps/place/52°38%2713.7%22N+1°07%2736.3%22W/@52.6371084,-1.1275435,335m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.6371333!4d-1.1267583","Data migrated to GIS","False","Leasehold","N only"
"LCT EXT (1st Floor)","Wharf Street South","Redstream","[""RA""]","MIDLANDS","Normal","WHARF ST. SOUTH
LEICESTER
LEICESTERSHIRE
LE1 2AA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LCT%20EXT%20(1st%20Floor).pdf","https://www.google.com/maps/place/52°38%2713.7%22N+1°07%2736.3%22W/@52.6371084,-1.1275435,335m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.6371333!4d-1.1267583","Data migrated to GIS","False","Leasehold","N only"
"KLNN01","Willows Business Park","Redstream",,"ANGLIA","Normal","WILLOWS ROAD
KINGS LYNN
NORFOLK
PE34 3RD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/KLNN01.pdf?CT=1608030740160&OR=ItemsView","https://www.google.com/maps/place/52°43%2738.2%22N+0°22%2748.2%22E/@52.7270402,0.3784679,668m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.7272806!4d0.3800583","Data migrated to GIS","False","Leasehold","N only"
